Kód obce,Obec,ORP,Okres,Kraj,Extent
581062,Tisová,Vysoké Mýto,Ústí nad Orlicí,Pardubický kraj,"POLYGON((-619003.85 -1077377.75,-619003.85 -1072674.29,-614928.49 -1072674.29,-614928.49 -1077377.75,-619003.85 -1077377.75))"
572381,Tisovec,Hlinsko,Chrudim,Pardubický kraj,"POLYGON((-640917.5 -1086975.9,-640917.5 -1082864.38,-637809.29 -1082864.38,-637809.29 -1086975.9,-640917.5 -1086975.9))"
590100,Tištín,Prostějov,Prostějov,Olomoucký kraj,"POLYGON((-558277.24 -1154808.65,-558277.24 -1151062.27,-554231.77 -1151062.27,-554231.77 -1154808.65,-558277.24 -1154808.65))"
559482,Tis u Blatna,Kralovice,Plzeň-sever,Plzeňský kraj,"POLYGON((-824032.12 -1034281.72,-824032.12 -1029959.41,-817486.53 -1029959.41,-817486.53 -1034281.72,-824032.12 -1034281.72))"
559491,Tlučná,Nýřany,Plzeň-sever,Plzeňský kraj,"POLYGON((-834131.88 -1072379.78,-834131.88 -1068352.08,-830890.9 -1068352.08,-830890.9 -1072379.78,-834131.88 -1072379.78))"
554341,Tlumačov,Domažlice,Domažlice,Plzeňský kraj,"POLYGON((-864234.42 -1107401.39,-864234.42 -1101507.69,-858826.2 -1101507.69,-858826.2 -1107401.39,-864234.42 -1107401.39))"
585858,Tlumačov,Otrokovice,Zlín,Zlínský kraj,"POLYGON((-534464.85 -1164342.31,-534464.85 -1158775.96,-529773.96 -1158775.96,-529773.96 -1164342.31,-534464.85 -1164342.31))"
531847,Tlustice,Hořovice,Beroun,Středočeský kraj,"POLYGON((-785889.97 -1065063.25,-785889.97 -1062174.5,-782925.31 -1062174.5,-782925.31 -1065063.25,-785889.97 -1065063.25))"
531855,Tmaň,Beroun,Beroun,Středočeský kraj,"POLYGON((-775844.74 -1060153.03,-775844.74 -1057282.38,-770383.04 -1057282.38,-770383.04 -1060153.03,-775844.74 -1060153.03))"
541427,Tochovice,Příbram,Příbram,Středočeský kraj,"POLYGON((-782946.17 -1094881.35,-782946.17 -1090835.51,-777748.62 -1090835.51,-777748.62 -1094881.35,-782946.17 -1094881.35))"
534463,Točník,Hořovice,Beroun,Středočeský kraj,"POLYGON((-786304.19 -1061372.9,-786304.19 -1058034.52,-781801.4 -1058034.52,-781801.4 -1061372.9,-786304.19 -1061372.9))"
578614,Tojice,Nepomuk,Plzeň-jih,Plzeňský kraj,"POLYGON((-809657.69 -1101065.72,-809657.69 -1099194.31,-806812.55 -1099194.31,-806812.55 -1101065.72,-809657.69 -1101065.72))"
532541,Tomice,Vlašim,Benešov,Středočeský kraj,"POLYGON((-698579.35 -1101657.92,-698579.35 -1097420.22,-695531.19 -1097420.22,-695531.19 -1101657.92,-698579.35 -1101657.92))"
